fiscal_year,fiscal_period,department,division,merchant,category_description,transaction_date,amount
2024,12,EXECUTIVE,Fleet Management,MILFORD CHEVY OFFICE,Auto Truck Dlrs-Sales Svc Reprs Prts Leasing,2024-06-25,303.65
2024,12,EXECUTIVE,Facilities Management,DE PROFESSIONAL REG WEB,Government Services-Not Elsewhere Classified,2024-06-24,99.0
2024,12,EXECUTIVE,Criminal Justice Council,AMERICAN AIR0017016942462,Airline,2024-06-25,398.96
2024,12,DEPT OF TECHNOLOGY AND INFOR,Chief Information Officer,SAMSCLUB.COM,Wholesale Clubs,2024-06-25,497.48
2024,12,DEPT OF TECHNOLOGY AND INFOR,Chief Security Officer,UBER TRIP,Travel,2024-06-27,27.9
2024,12,DEPT OF TECHNOLOGY AND INFOR,Chief Security Officer,GRUBHUBGOLDENDYNASTYC,Eating Places Restaurants,2024-06-27,70.71
2024,12,DEPT OF TECHNOLOGY AND INFOR,Chief Security Officer,AMERICAN AIR0014437317232,Airline,2024-06-25,35.0
2024,12,DEPT OF TECHNOLOGY AND INFOR,Chief Security Officer,CARIBE ROYALE RESORT SUT,Lodging,2024-06-24,257.63
2024,12,DEPT OF TECHNOLOGY AND INFOR,Administration,COLONIAL PARKING CORP.,Automobile Parking Lots And Garages,2024-06-27,96.0
2024,12,DEPT OF TECHNOLOGY AND INFOR,Administration,VERIZONWRLSS*RTCCR VB,Telecom Incl Prepaid-Recurring Phone Svcs,2024-06-26,160.45
2024,12,DEPT OF TECHNOLOGY AND INFOR,Administration,PROJECT MGMT INSTITUTE,Schools Educational Svc-Not Elsewhere Classified,2024-06-26,174.0
2024,12,DEPT OF TECHNOLOGY AND INFOR,Telecommunications,DELTA AIR 0062246956641,Airline,2024-06-26,371.96
2024,12,DEPT OF TECHNOLOGY AND INFOR,Telecommunications,DELTA AIR 0062246955754,Airline,2024-06-26,125.99
2024,12,DEPT OF TECHNOLOGY AND INFOR,Systems Engineering,DELTA AIR 0062246626993,Airline,2024-06-26,306.95
2024,12,LIEUTENANT GOVERNOR,Lieutenant Governor,TARGET 00013128,Discount Stores,2024-06-25,4.49
2024,12,LIEUTENANT GOVERNOR,Lieutenant Governor,PANERA BREAD #203810 O,Fast Food Restaurants,2024-06-26,112.6
2024,12,LIEUTENANT GOVERNOR,Lieutenant Governor,SEASONS PIZZA CONCORD P,Eating Places Restaurants,2024-06-24,753.39
2024,12,LIEUTENANT GOVERNOR,Lieutenant Governor,STAPLES 00116988,Office School Supply And Stationery Stores,2024-06-24,85.8
2024,12,LIEUTENANT GOVERNOR,Lieutenant Governor,PANERA BREAD #203962 O,Eating Places Restaurants,2024-06-25,240.28
2024,12,AUDITOR OF ACCOUNTS,Auditor Of Accounts,THOMSON WEST*TCD,Professional Services-Not Elsewhere Classified,2024-06-24,115.0
2024,12,INSURANCE COMMISSIONER,Bur Of Exam Rehab And Guara,CDW GOVT #RX96839,Computers Computer Peripheral Equipment Software,2024-06-24,39.58
2024,12,INSURANCE COMMISSIONER,Bur Of Exam Rehab And Guara,CDW GOVT #SB10213,Computers Computer Peripheral Equipment Software,2024-06-26,36.57
2024,12,INSURANCE COMMISSIONER,Bur Of Exam Rehab And Guara,PAYPAL *INNERCITYCU,Organizations Charitable And Social Services,2024-06-25,-150.0
2024,12,STATE TREASURER,Administration,UBER TRIP* TRIP,Travel,2024-06-26,11.96
2024,12,STATE TREASURER,Administration,DMI* DELL K-12/GOVT,Computers Computer Peripheral Equipment Software,2024-06-25,33.42
2024,12,STATE TREASURER,Administration,VZWRLSS*APOCC VISB,Telecom Incl Prepaid-Recurring Phone Svcs,2024-06-26,631.01
2024,12,STATE TREASURER,Administration,AMTRAK .COM 1770692122820,Travel,2024-06-25,146.0
2024,12,STATE TREASURER,Administration,ERACTOLL 566439280,Bridge And Road Fees Tolls,2024-06-25,7.38
2024,12,STATE TREASURER,Administration,DMI* DELL K-12/GOVT,Computers Computer Peripheral Equipment Software,2024-06-25,227.04
2024,12,STATE TREASURER,Administration,DMI* DELL K-12/GOVT,Computers Computer Peripheral Equipment Software,2024-06-25,91.0
2024,12,LEGAL,Department of Justice,FH* FLAGSHIP CRUISES,Tourist Attractions And Exhibits,2024-06-27,8.5
2024,12,LEGAL,Department of Justice,ADOBE *ADOBE,Computer Software Stores,2024-06-26,99.99
2024,12,LEGAL,Department of Justice,STAPLS0219294739000001,Stationery-Office Supplies-Printing Writing Pap,2024-06-26,200.69
2024,12,LEGAL,Department of Justice,TST* DIMEOS,Eating Places Restaurants,2024-06-25,392.0
2024,12,LEGAL,Department of Justice,DOJ Internal Transaction,Lodging,2024-06-24,540.0
2024,12,LEGAL,Department of Justice,TST* GASLAMP FISH HOUSE,Eating Places Restaurants,2024-06-25,20.76
2024,12,LEGAL,Department of Justice,DOJ Internal Transaction,Lodging,2024-06-25,1522.13
2024,12,LEGAL,Department of Justice,STAPLS0219293419000001,Stationery-Office Supplies-Printing Writing Pap,2024-06-26,1411.6
2024,12,LEGAL,Department of Justice,IDENTOGO - DE FINGE,Government Services-Not Elsewhere Classified,2024-06-24,20.0
2024,12,LEGAL,Department of Justice,UBER TRIP,Travel,2024-06-25,25.33
2024,12,LEGAL,Department of Justice,TST* MALIBU FARM SAN DIEG,Eating Places Restaurants,2024-06-26,45.25
2024,12,LEGAL,Department of Justice,HERTZTOLL 156661923,Business Services-Not Elsewhere Classified,2024-06-27,11.14
2024,12,LEGAL,Department of Justice,WESTIN GASLAMP QTR DINE,Eating Places Restaurants,2024-06-24,26.55
2024,12,LEGAL,Department of Justice,MENDOCINO FARMS #32,Eating Places Restaurants,2024-06-25,20.7
2024,12,LEGAL,Department of Justice,IDENTOGO - DE FINGE,Government Services-Not Elsewhere Classified,2024-06-24,20.0
2024,12,LEGAL,Department of Justice,IDENTOGO - DE FINGE,Government Services-Not Elsewhere Classified,2024-06-24,20.0
2024,12,LEGAL,Department of Justice,PY *NACPI,Associations-Civic Social And Fraternal,2024-06-24,468.9
2024,12,LEGAL,Department of Justice,ASTI RISTORANTE,Eating Places Restaurants,2024-06-25,47.02
2024,12,LEGAL,Department of Justice,TST* GASLAMP FISH HOUSE,Eating Places Restaurants,2024-06-25,26.83
2024,12,LEGAL,Department of Justice,MENDOCINO FARMS #32,Eating Places Restaurants,2024-06-24,22.36
2024,12,LEGAL,Department of Justice,LOU And MICKEYS,Eating Places Restaurants,2024-06-25,178.7
2024,12,LEGAL,Department of Justice,DOJ Internal Transaction,Public Warehousing-Farm Refrig Goods Hhg Storage,2024-06-27,355.6
2024,12,LEGAL,Department of Justice,FSP*ROYAL PRIME EVENTS,Caterers,2024-06-24,1751.0
2024,12,LEGAL,Department of Justice,CHIPOTLE 1635,Fast Food Restaurants,2024-06-24,17.13
2024,12,LEGAL,Department of Justice,MCDONALD'S F31398,Fast Food Restaurants,2024-06-24,11.73
2024,12,LEGAL,Department of Justice,CVS/PHARMACY #11018,Drug Stores Pharmacies,2024-06-24,2.79
2024,12,LEGAL,Department of Justice,AMAZON MKTPL*RC9YC9VC0,Book Stores,2024-06-25,8.77
2024,12,LEGAL,Department of Justice,WESTIN GASLAMP QTR DINE,Eating Places Restaurants,2024-06-25,5.12
2024,12,LEGAL,Department of Justice,AIRGARAGE PARKING,Automobile Parking Lots And Garages,2024-06-26,7.58
2024,12,LEGAL,Department of Justice,AIRGARAGE PARKING,Automobile Parking Lots And Garages,2024-06-24,16.49
2024,12,LEGAL,Department of Justice,UBER TRIP,Travel,2024-06-25,5.06
2024,12,LEGAL,Department of Justice,MCDONALD'S F19746,Fast Food Restaurants,2024-06-24,11.78
2024,12,LEGAL,Department of Justice,WAWA 8609,Service Stations With Or Without Ancillary Service,2024-06-24,24.48
2024,12,LEGAL,Department of Justice,WAWA 8609,Service Stations With Or Without Ancillary Service,2024-06-24,12.12
2024,12,LEGAL,Department of Justice,FH* FLAGSHIP CRUISES,Tourist Attractions And Exhibits,2024-06-27,8.5
2024,12,LEGAL,Department of Justice,IN *LINGUISTICA INTERNATI,Professional Services-Not Elsewhere Classified,2024-06-24,277.07
2024,12,LEGAL,Department of Justice,VERITEXT LEGAL SOLUTIONS,Professional Services-Not Elsewhere Classified,2024-06-24,14075.9
2024,12,LEGAL,Department of Justice,WESTIN GASLAMP QTR DINE,Eating Places Restaurants,2024-06-25,40.0
2024,12,LEGAL,Department of Justice,COURTS/USDC-DE,Government Services-Not Elsewhere Classified,2024-06-26,214.0
2024,12,LEGAL,Department of Justice,IN-N-OUT CARLSBAD,Fast Food Restaurants,2024-06-24,12.07
2024,12,LEGAL,Department of Justice,CORNER BAKERY CAFE 1642,Eating Places Restaurants,2024-06-25,19.16
2024,12,LEGAL,Department of Justice,WESTIN GASLAMP QTR DINE,Eating Places Restaurants,2024-06-24,3.5
2024,12,LEGAL,Department of Justice,ADOBE *ADOBE,Computer Software Stores,2024-06-25,99.99
2024,12,LEGAL,Department of Justice,LEGALBLUEBOOK.COM,Books Periodicals And Newspapers,2024-06-26,292.73
2024,12,LEGAL,Department of Justice,STAPLS0219312659000001,Stationery-Office Supplies-Printing Writing Pap,2024-06-26,132.52
2024,12,LEGAL,Department of Justice,DOJ Internal Transaction,Travel,2024-06-26,1386.0
2024,12,LEGAL,Department of Justice,WWW.PACER.GOV,Government Services-Not Elsewhere Classified,2024-06-26,114.9
2024,12,LEGAL,Department of Justice,DOJ Internal Transaction,Telecom Incl Prepaid-Recurring Phone Svcs,2024-06-26,80.12
2024,12,LEGAL,Department of Justice,AMZN MKTP US*RG7JG3IQ1,Book Stores,2024-06-25,7530.0
2024,12,LEGAL,Department of Justice,CORNER BAKERY CAFE 1642,Eating Places Restaurants,2024-06-25,17.65
2024,12,LEGAL,Department of Justice,THE LODGE AT TORREY PINES,Eating Places Restaurants,2024-06-24,64.41
2024,12,LEGAL,PUBLIC DEFENDER,STAPLS0219293546000001,Stationery-Office Supplies-Printing Writing Pap,2024-06-26,359.1
2024,12,LEGAL,PUBLIC DEFENDER,STAPLS0219293947000001,Stationery-Office Supplies-Printing Writing Pap,2024-06-26,32.36
2024,12,DEPARTMENT OF HUMAN RESOURCES,Office of the Secretary,STARBUCKS 21751,Fast Food Restaurants,2024-06-25,9.44
2024,12,DEPARTMENT OF HUMAN RESOURCES,Office of the Secretary,UBER TRIP,Travel,2024-06-26,10.58
2024,12,DEPARTMENT OF HUMAN RESOURCES,Office of the Secretary,UBER TRIP,Travel,2024-06-26,52.91
2024,12,DEPARTMENT OF HUMAN RESOURCES,Office of the Secretary,UBER TRIP,Travel,2024-06-26,12.97
2024,12,DEPARTMENT OF HUMAN RESOURCES,Office of the Secretary,DD DOORDASH TACOPROS-,Eating Places Restaurants,2024-06-26,44.02
2024,12,DEPARTMENT OF HUMAN RESOURCES,Office of the Secretary,DUNKIN #336536 Q35,Fast Food Restaurants,2024-06-26,6.14
2024,12,DEPARTMENT OF HUMAN RESOURCES,Office of the Secretary,DD DOORDASH SHANGNOOD,Eating Places Restaurants,2024-06-25,59.0
2024,12,DEPARTMENT OF HUMAN RESOURCES,Office of the Secretary,DD DOORDASH NANCYSPIZ,Eating Places Restaurants,2024-06-24,66.75
2024,12,DEPARTMENT OF HUMAN RESOURCES,Office of the Secretary,UBER TRIP,Travel,2024-06-26,3.0
2024,12,DEPARTMENT OF HUMAN RESOURCES,Division of Statewide Benefits,UBER TRIP,Travel,2024-06-24,32.99
2024,12,DEPARTMENT OF HUMAN RESOURCES,Division of Statewide Benefits,TST* YARDBIRD CHICAGO,Eating Places Restaurants,2024-06-24,46.12
2024,12,DEPARTMENT OF HUMAN RESOURCES,Division of Statewide Benefits,UBER TRIP,Travel,2024-06-26,26.99
2024,12,DEPARTMENT OF HUMAN RESOURCES,Division of Statewide Benefits,UBER TRIP,Travel,2024-06-24,23.93
2024,12,DEPARTMENT OF HUMAN RESOURCES,Division of Statewide Benefits,STARBUCKS STORE 21751,Fast Food Restaurants,2024-06-25,11.29
2024,12,DEPARTMENT OF HUMAN RESOURCES,Division of Statewide Benefits,TST* WEBER GRILL RESTAURA,Eating Places Restaurants,2024-06-25,23.52
2024,12,DEPARTMENT OF HUMAN RESOURCES,Division of Statewide Benefits,UBER TRIP,Travel,2024-06-26,80.94
2024,12,DEPARTMENT OF HUMAN RESOURCES,Division of Statewide Benefits,SMASHBURGER #1733,Fast Food Restaurants,2024-06-24,12.55
2024,12,DEPARTMENT OF HUMAN RESOURCES,Division of Statewide Benefits,POPEYES 13060,Fast Food Restaurants,2024-06-26,12.28
2024,12,DEPARTMENT OF HUMAN RESOURCES,Division of Statewide Benefits,MCCORMICK PLACE,Eating Places Restaurants,2024-06-26,7.83
2024,12,DEPT OF STATE,Administration,JIMMY JOHNS - 2005 - ECOM,Fast Food Restaurants,2024-06-24,183.0
2024,12,DEPT OF STATE,Administration,SAMS CLUB #6330,Wholesale Clubs,2024-06-26,70.09
2024,12,DEPT OF STATE,Administration,USCUSTOMS TRUSTEDTRAVELER,Government Services-Not Elsewhere Classified,2024-06-25,100.0
2024,12,DEPT OF STATE,Administration,BJS.COM EXP,Wholesale Clubs,2024-06-24,40.96
2024,12,DEPT OF STATE,Government Information Center,BIL*SOUNDSTRIPE INC.,Accounting Auditing And Bookkeeping Services,2024-06-24,4500.0
2024,12,DEPT OF STATE,Human and Civil Rights,COA CHEAPOAIR.COM AIR,Travel,2024-06-27,10.04
2024,12,DEPT OF STATE,Delaware Public Archives,TST* TERMINI BROS BAKERY,Eating Places Restaurants,2024-06-26,21.0
2024,12,DEPT OF STATE,Delaware Public Archives,SPO*BYGEORGE-PHILADELPHIA,Eating Places Restaurants,2024-06-26,22.45
2024,12,DEPT OF STATE,Delaware Public Archives,CINTAS CORP,Business Services-Not Elsewhere Classified,2024-06-26,50.87
2024,12,DEPT OF STATE,Delaware Public Archives,TST* TERMINI BROS BAKERY,Eating Places Restaurants,2024-06-26,8.0
2024,12,DEPT OF STATE,Delaware Public Archives,CVS/PHARMACY #11170,Drug Stores Pharmacies,2024-06-26,12.58
2024,12,DEPT OF STATE,Delaware Public Archives,THE ORIGINAL TURKEY,Fast Food Restaurants,2024-06-26,25.0
2024,12,DEPT OF STATE,Public Service Commission,BRICK ALLEY PUB,Bar Lounge Disco Nightclub Tavern-Alcoholic Drinks,2024-06-25,51.05
2024,12,DEPT OF STATE,Public Service Commission,TST* SALTWATER,Eating Places Restaurants,2024-06-24,21.76
2024,12,DEPT OF STATE,Public Service Commission,THE BROWN HOTEL FB,Eating Places Restaurants,2024-06-25,37.2
2024,12,DEPT OF STATE,Public Service Commission,LE BUS CAFE,Eating Places Restaurants,2024-06-26,4.73
2024,12,DEPT OF STATE,Public Service Commission,CVS/PHARMACY #06210,Drug Stores Pharmacies,2024-06-24,5.09
2024,12,DEPT OF STATE,Public Service Commission,SICILIAN PIZZA And PASTA,Eating Places Restaurants,2024-06-24,17.1
2024,12,DEPT OF STATE,Public Service Commission,TGI FRIDAYS 1108,Eating Places Restaurants,2024-06-24,19.18
2024,12,DEPT OF STATE,Public Service Commission,NYTIMES*NYTIMES,Direct Marketing-Continuity-Subscription Merchants,2024-06-25,25.0
2024,12,DEPT OF STATE,Public Advocate,DMI* DELL K-12/GOVT,Computers Computer Peripheral Equipment Software,2024-06-26,330.0
2024,12,DEPT OF STATE,Arts Office Of The Director,GRANTMAKERS INTHE ARTS,Schools Educational Svc-Not Elsewhere Classified,2024-06-25,150.0
2024,12,DEPT OF STATE,Libraries,SQ *AHMED YUSUF JEEHDIN T,Travel,2024-06-26,32.14
2024,12,DEPT OF STATE,Libraries,LA COLOMBE PHL A-EAST,Eating Places Restaurants,2024-06-26,3.83
2024,12,DEPT OF STATE,Libraries,AMERICAN AIR0010283762732,Airline,2024-06-26,40.0
2024,12,DEPT OF STATE,Libraries,NEWS And MARKET ST2866,News Dealers And Newsstands,2024-06-26,4.83
2024,12,DEPT OF STATE,Libraries,CVS/PHARMACY #10954,Drug Stores Pharmacies,2024-06-26,7.79
2024,12,DEPT OF STATE,Veterans Home,HOMEDEPOT.COM,Home Supply Warehouse Stores,2024-06-24,440.82
2024,12,DEPT OF FINANCE,Accounting,#04 MARTINI MODERN ITALI,Eating Places Restaurants,2024-06-25,55.0
2024,12,DEPT OF STATE,Delaware Economic Development,GRAINGER,Industrial Supplies Not Elsewhere Classified,2024-06-24,75.32
2024,12,DEPT OF STATE,Delaware Economic Development,IEDC ONLINE,Organizations Membership-Not Elsewhere Classified,2024-06-25,200.0
2024,12,DEPT OF STATE,Delaware Economic Development,IEDC ONLINE,Organizations Membership-Not Elsewhere Classified,2024-06-25,200.0
2024,12,DEPT OF STATE,Delaware Economic Development,IEDC ONLINE,Organizations Membership-Not Elsewhere Classified,2024-06-25,1525.0
2024,12,DEPT OF STATE,Delaware Economic Development,IEDC ONLINE,Organizations Membership-Not Elsewhere Classified,2024-06-25,200.0
2024,12,DEPT OF STATE,Delaware Economic Development,SECURE STORAGE LLC,Public Warehousing-Farm Refrig Goods Hhg Storage,2024-06-24,289.0
2024,12,DEPT OF STATE,Delaware Economic Development,FEDEX78936458,Courier Svc-Air Ground Freight Forwarders,2024-06-25,474.12
2024,12,DEPT OF STATE,Delaware Economic Development,IEDC ONLINE,Organizations Membership-Not Elsewhere Classified,2024-06-25,200.0
2024,12,DEPT OF STATE,Delaware Economic Development,IEDC ONLINE,Organizations Membership-Not Elsewhere Classified,2024-06-25,200.0
2024,12,DEPT OF STATE,Delaware Economic Development,IEDC ONLINE,Organizations Membership-Not Elsewhere Classified,2024-06-25,200.0
2024,12,DEPT OF STATE,Delaware Economic Development,IEDC ONLINE,Organizations Membership-Not Elsewhere Classified,2024-06-25,200.0
2024,12,DEPT OF STATE,Delaware Economic Development,IEDC ONLINE,Organizations Membership-Not Elsewhere Classified,2024-06-25,200.0
2024,12,DEPT OF STATE,Delaware Tourism Office,TST* GOOD EARTH MARKET,Eating Places Restaurants,2024-06-24,68.5
2024,12,DEPT OF STATE,Delaware Tourism Office,EPIC MARKETING CONSULT,Advertising Services,2024-06-24,-256.75
2024,12,DEPT OF STATE,Delaware Tourism Office,MAILCHIMP *MISC,Applications - Excludes Games,2024-06-24,45.0
2024,12,DEPT OF STATE,Delaware Tourism Office,4IMPRINT INC,Direct Marketing-Other Direct Marketers-Not Elsew,2024-06-24,4811.78
2024,12,DEPT OF FINANCE,Office Of The Secretary,THE NEWS JOURNAL,Direct Marketing-Continuity-Subscription Merchants,2024-06-24,19.99
2024,12,DEPT OF FINANCE,Accounting,TST* BISTROLINO,Bar Lounge Disco Nightclub Tavern-Alcoholic Drinks,2024-06-26,39.0
2024,12,DEPT OF FINANCE,Accounting,SAFEWAY 1763,Grocery Stores Supermarkets,2024-06-24,4.69
2024,12,DEPT OF FINANCE,State Lottery Office,SQ *LEWES DAILY MARKET,Grocery Stores Supermarkets,2024-06-26,7.0
2024,12,DEPT OF FINANCE,State Lottery Office,FEDEX78899179,Courier Svc-Air Ground Freight Forwarders,2024-06-25,88.23
2024,12,DEPT OF FINANCE,State Lottery Office,FEDEX78961578,Courier Svc-Air Ground Freight Forwarders,2024-06-26,43.92
2024,12,DEPT OF HEALTH AND SOCIAL SV,Office OT Secretary,SAFEWAY 1763,Grocery Stores Supermarkets,2024-06-25,27.99
2024,12,DEPT OF HEALTH AND SOCIAL SV,Medicaid And Medical Assista,AWX*ADVANCING STATES CONF,Business Services-Not Elsewhere Classified,2024-06-27,840.0
2024,12,DEPT OF HEALTH AND SOCIAL SV,Medicaid And Medical Assista,AWX*ADVANCING STATES CONF,Business Services-Not Elsewhere Classified,2024-06-27,840.0
2024,12,DEPT OF HEALTH AND SOCIAL SV,Community Health,TRILLIUM,Eating Places Restaurants,2024-06-24,33.62
2024,12,DEPT OF HEALTH AND SOCIAL SV,Community Health,UBER TRIP,Travel,2024-06-24,13.92
2024,12,DEPT OF HEALTH AND SOCIAL SV,Community Health,Z ZOUL CAFE,Eating Places Restaurants,2024-06-26,19.53
2024,12,DEPT OF HEALTH AND SOCIAL SV,Community Health,PARKS CAMP ASPIRA,Government Services-Not Elsewhere Classified,2024-06-26,100.0
2024,12,DEPT OF HEALTH AND SOCIAL SV,Community Health,BURGER KING #2382,Fast Food Restaurants,2024-06-25,6.86
2024,12,DEPT OF HEALTH AND SOCIAL SV,Community Health,DD DOORDASH PANCHOVIL,Eating Places Restaurants,2024-06-26,36.74
2024,12,DEPT OF HEALTH AND SOCIAL SV,Community Health,UNITED 0164412169434,Airline,2024-06-24,40.0
